CellType,Factor,ENCODE_BAM,ENCODE_BED,Model-k,Model-theta,Model-frac,Model-spot,Model-pcr,ModelFile
GM12878,H3K4me3,ENCFF398NET,ENCFF795URC,5.23,39.10,0.00537,0.20387,0.94,s3://chipmunk-encode-models/GM12878_H3K4me3_ENCFF398NET_ENCFF795URC-1.9.json
GM12878,H3K4me3,ENCFF478HXG,ENCFF795URC,5.20,39.23,0.00503,0.22844,0.91,s3://chipmunk-encode-models/GM12878_H3K4me3_ENCFF478HXG_ENCFF795URC-1.9.json
GM12878,H3K4me3,ENCFF520LYT,ENCFF295GNH,5.16,39.39,0.00619,0.15380,0.92,s3://chipmunk-encode-models/GM12878_H3K4me3_ENCFF520LYT_ENCFF295GNH-1.9.json
GM12878,H3K4me3,ENCFF576LOX,ENCFF354MGT,3.76,46.11,0.00868,0.64826,0.89,s3://chipmunk-encode-models/GM12878_H3K4me3_ENCFF576LOX_ENCFF354MGT-1.9.json
GM12878,H3K4me3,ENCFF651KIN,ENCFF354MGT,3.63,46.94,0.00911,0.66770,0.90,s3://chipmunk-encode-models/GM12878_H3K4me3_ENCFF651KIN_ENCFF354MGT-1.9.json
GM12878,H3K79me2,ENCFF270WQA,ENCFF357HZM,5.11,39.55,0.00779,0.49476,0.94,s3://chipmunk-encode-models/GM12878_H3K79me2_ENCFF270WQA_ENCFF357HZM-1.9.json
GM12878,H3K79me2,ENCFF691PCD,ENCFF357HZM,4.90,40.42,0.00795,0.46534,0.95,s3://chipmunk-encode-models/GM12878_H3K79me2_ENCFF691PCD_ENCFF357HZM-1.9.json
GM12878,H3K9ac,ENCFF456WNJ,ENCFF052MHA,6.27,35.71,0.00537,0.32566,0.92,s3://chipmunk-encode-models/GM12878_H3K9ac_ENCFF456WNJ_ENCFF052MHA-1.9.json
GM12878,H3K9ac,ENCFF863OXT,ENCFF052MHA,6.46,35.19,0.00503,0.24012,0.97,s3://chipmunk-encode-models/GM12878_H3K9ac_ENCFF863OXT_ENCFF052MHA-1.9.json
GM12878,H4K20me1,ENCFF379ZAB,ENCFF308WNH,5.72,37.41,0.00030,0.00993,0.98,s3://chipmunk-encode-models/GM12878_H4K20me1_ENCFF379ZAB_ENCFF308WNH-1.9.json
GM12878,H4K20me1,ENCFF939MHR,ENCFF308WNH,5.86,36.95,0.00030,0.00923,0.95,s3://chipmunk-encode-models/GM12878_H4K20me1_ENCFF939MHR_ENCFF308WNH-1.9.json
GM12878,HCFC1,ENCFF102UZW,ENCFF895YBG,15.47,11.65,0.00042,0.02669,0.95,s3://chipmunk-encode-models/GM12878_HCFC1_ENCFF102UZW_ENCFF895YBG-1.9.json
GM12878,HCFC1,ENCFF664WOZ,ENCFF895YBG,17.53,10.46,0.00042,0.03508,0.94,s3://chipmunk-encode-models/GM12878_HCFC1_ENCFF664WOZ_ENCFF895YBG-1.9.json
GM12878,HDAC2,ENCFF312DFB,ENCFF107UHX,14.63,15.24,0.00009,0.00236,0.94,s3://chipmunk-encode-models/GM12878_HDAC2_ENCFF312DFB_ENCFF107UHX-1.9.json
GM12878,HDAC2,ENCFF909TCN,ENCFF107UHX,12.50,17.14,0.00009,0.00173,0.92,s3://chipmunk-encode-models/GM12878_HDAC2_ENCFF909TCN_ENCFF107UHX-1.9.json
GM12878,HSF1,ENCFF928UWV,ENCFF308ZGG,21.10,8.87,0.00010,0.00439,0.85,s3://chipmunk-encode-models/GM12878_HSF1_ENCFF928UWV_ENCFF308ZGG-1.9.json
GM12878,HSF1,ENCFF947SAR,ENCFF308ZGG,21.09,8.90,0.00010,0.00297,0.88,s3://chipmunk-encode-models/GM12878_HSF1_ENCFF947SAR_ENCFF308ZGG-1.9.json
GM12878,IKZF1,ENCFF076DFZ,ENCFF073XZC,10.50,19.88,0.00090,0.02408,0.94,s3://chipmunk-encode-models/GM12878_IKZF1_ENCFF076DFZ_ENCFF073XZC-1.9.json
GM12878,IKZF1,ENCFF353MVL,ENCFF073XZC,10.26,20.06,0.00090,0.02528,0.96,s3://chipmunk-encode-models/GM12878_IKZF1_ENCFF353MVL_ENCFF073XZC-1.9.json
GM12878,IKZF1,ENCFF778KDH,ENCFF809OOE,13.18,16.72,0.00414,0.18380,0.86,s3://chipmunk-encode-models/GM12878_IKZF1_ENCFF778KDH_ENCFF809OOE.paired-1.9.json
GM12878,IKZF1,ENCFF778KDH,ENCFF809OOE,5.47,38.24,0.00415,0.18249,0.86,s3://chipmunk-encode-models/GM12878_IKZF1_ENCFF778KDH_ENCFF809OOE-1.9.json
GM12878,IRF3,ENCFF920XYY,ENCFF303TVZ,21.06,8.96,0.00007,0.00247,0.94,s3://chipmunk-encode-models/GM12878_IRF3_ENCFF920XYY_ENCFF303TVZ-1.9.json
GM12878,IRF3,ENCFF962GER,ENCFF303TVZ,21.04,9.02,0.00007,0.00498,0.89,s3://chipmunk-encode-models/GM12878_IRF3_ENCFF962GER_ENCFF303TVZ-1.9.json
GM12878,IRF4,ENCFF056SZK,ENCFF391DVL,21.12,8.84,0.00086,0.05587,0.97,s3://chipmunk-encode-models/GM12878_IRF4_ENCFF056SZK_ENCFF391DVL-1.9.json
GM12878,IRF4,ENCFF077CHK,ENCFF391DVL,21.13,8.82,0.00086,0.04946,0.97,s3://chipmunk-encode-models/GM12878_IRF4_ENCFF077CHK_ENCFF391DVL-1.9.json
GM12878,JUNB,ENCFF312NBZ,ENCFF939TZS,18.73,10.05,0.00177,0.09557,0.89,s3://chipmunk-encode-models/GM12878_JUNB_ENCFF312NBZ_ENCFF939TZS-1.9.json
GM12878,JUNB,ENCFF750SGF,ENCFF939TZS,17.40,10.59,0.00178,0.08116,0.85,s3://chipmunk-encode-models/GM12878_JUNB_ENCFF750SGF_ENCFF939TZS-1.9.json
GM12878,JUND,ENCFF425XHS,ENCFF556PIY,21.03,9.04,0.00026,0.01652,0.83,s3://chipmunk-encode-models/GM12878_JUND_ENCFF425XHS_ENCFF556PIY-1.9.json
GM12878,JUND,ENCFF860UYK,ENCFF556PIY,21.12,8.84,0.00026,0.01207,0.96,s3://chipmunk-encode-models/GM12878_JUND_ENCFF860UYK_ENCFF556PIY-1.9.json
